Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.33      7.98     0.03                             b2World::DrawJoint(b2Joint*)
  0.33      8.01     0.03                             b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  0.33      8.04     0.03                             b2Fixture::GetNext()
  0.33      8.07     0.03                             b2Simplex::Solve3()
  0.33      8.10     0.03                             b2Shape::GetType() const
  0.28      8.12     0.03                             b2Color::b2Color(float, float, float)
  0.22      8.14     0.02                             b2PairLessThan(b2Pair const&, b2Pair const&)
  0.22      8.16     0.02                             float b2Max<float>(float, float)
  0.22      8.18     0.02                             b2MulT(b2Transform const&, b2Vec2 const&)
  0.22      8.20     0.02                             b2TOIInput::b2TOIInput()
  0.22      8.22     0.02                             b2DynamicTree::Balance(int)
  0.22      8.24     0.02                             b2PulleyJoint::SolvePositionConstraints(b2SolverData const&)
  0.22      8.26     0.02                             b2GrowableStack<int, 256>::GetCount()
  0.22      8.28     0.02                             b2StackAllocator::Free(void*)
  0.22      8.30     0.02                             b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int)
  0.22      8.32     0.02                             b2Rot::Set(float)
  0.22      8.34     0.02                             b2Body::SynchronizeFixtures()
  0.22      8.36     0.02                             b2Sweep::Normalize()
  0.22      8.38     0.02                             b2World::ClearForces()
  0.22      8.40     0.02                             b2Island::Report(b2ContactVelocityConstraint const*)
  0.22      8.42     0.02                             b2Contact::SetEnabled(bool)
  0.22      8.44     0.02                             b2Fixture::DestroyProxies(b2BroadPhase*)
  0.22      8.46     0.02                             b2Fixture::GetBody()
  0.22      8.48     0.02                             b2BroadPhase::TestOverlap(int, int) const
  0.22      8.50     0.02                             b2DynamicTree::GetFatAABB(int) const
  0.22      8.52     0.02                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.22      8.54     0.02                             b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  0.22      8.56     0.02                             b2Body::GetTransform() const
  0.22      8.58     0.02                             b2Vec2::LengthSquared() const
  0.22      8.60     0.02                             b2Timer::GetMilliseconds() const
  0.22      8.62     0.02                             b2Fixture::IsSensor() const
  0.11      8.63     0.01     8416     1.19     1.19  cs296::base_sim_t::step(cs296::settings_t*)
  0.11      8.64     0.01                             void b2Swap<float>(float&, float&)
  0.11      8.65     0.01                             b2BroadPhase::QueryCallback(int)
  0.11      8.66     0.01                             b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.11      8.67     0.01                             b2ChainShape::b2ChainShape()
  0.11      8.68     0.01                             b2ClipVertex::b2ClipVertex()
  0.11      8.69     0.01                             b2EPCollider::ComputeEdgeSeparation()
  0.11      8.70     0.01                             b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.11      8.71     0.01                             b2DynamicTree::RemoveLeaf(int)
  0.11      8.72     0.01                             b2DynamicTree::AllocateNode()
  0.11      8.73     0.01                             b2DynamicTree::DestroyProxy(int)
  0.11      8.74     0.01                             b2PulleyJoint::InitVelocityConstraints(b2SolverData const&)
  0.11      8.75     0.01                             b2DistanceProxy::Set(b2Shape const*, int)
  0.11      8.76     0.01                             b2GrowableStack<int, 256>::Push(int const&)
  0.11      8.77     0.01                             b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float)
  0.11      8.78     0.01                             b2WorldManifold::b2WorldManifold()
  0.11      8.79     0.01                             b2ContactManager::AddPair(void*, void*)
  0.11      8.80     0.01                             b2Body::GetContactList()
  0.11      8.81     0.01                             b2Body::SynchronizeTransform()
  0.11      8.82     0.01                             b2Body::SetAwake(bool)
  0.11      8.83     0.01                             b2Vec2::Normalize()
  0.11      8.84     0.01                             b2Vec2::operator*=(float)
  0.11      8.85     0.01                             b2Vec3::operator*=(float)
  0.11      8.86     0.01                             b2Sweep::b2Sweep()
  0.11      8.87     0.01                             b2Timer::Reset()
  0.11      8.88     0.01                             b2Timer::b2Timer()
  0.11      8.89     0.01                             b2Island::Add(b2Body*)
  0.11      8.90     0.01                             b2Island::Clear()
  0.11      8.91     0.01                             b2Fixture::GetShape()
  0.11      8.92     0.01                             b2Simplex::b2Simplex()
  0.11      8.93     0.01                             b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.11      8.94     0.01                             b2DynamicTree::GetUserData(int) const
  0.11      8.95     0.01                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  0.11      8.96     0.01                             b2PolygonShape::RayCast(b2RayCastOutput*, b2RayCastInput const&, b2Transform const&, int) const
  0.11      8.97     0.01                             b2DistanceProxy::GetVertex(int) const
  0.11      8.98     0.01                             b2SeparationFunction::Evaluate(int, int, float) const
  0.11      8.99     0.01                             b2Body::GetType() const
  0.11      9.00     0.01                             b2Mat33::Solve22(b2Vec2 const&) const
  0.11      9.01     0.01                             b2Contact::GetChildIndexA() const
  0.11      9.02     0.01                             b2Contact::IsEnabled() const
  0.11      9.03     0.01                             b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
  0.11      9.04     0.01                             b2Simplex::GetSearchDirection() const
  0.06      9.05     0.01                             b2DistanceProxy::b2DistanceProxy()
  0.06      9.05     0.01                             b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&)
  0.06      9.06     0.01                             b2RevoluteJoint::b2RevoluteJoint(b2RevoluteJointDef const*)
  0.06      9.06     0.01                             cs296::callbacks_t::timer_cb(int)
  0.06      9.07     0.01                             frame_dummy
  0.00      9.07     0.00   740608     0.00     0.00  debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&)
  0.00      9.07     0.00   197385     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00      9.07     0.00   197351     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.00      9.07     0.00     8416     0.00     0.00  debug_draw_t::DrawString(int, int, char const*, ...)
  0.00      9.07     0.00     8416     0.00     0.00  cs296::base_sim_t::draw_title(int, int, char const*)
  0.00      9.07     0.00     2899     0.00     0.00  cs296::MyContactListener::BeginContact(b2Contact*)
  0.00      9.07     0.00     2788     0.00     0.00  cs296::MyContactListener::EndContact(b2Contact*)
  0.00      9.07     0.00      123     0.00     0.00  b2Shape::~b2Shape()
  0.00      9.07     0.00        2     0.00     0.00  cs296::base_sim_t::base_sim_t()
  0.00      9.07     0.00        2     0.00     0.00  cs296::dominos_t::dominos_t()
  0.00      9.07     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z14create_glui_uiv
  0.00      9.07     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs29610base_sim_tC2Ev
  0.00      9.07     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs29610test_indexE
  0.00      9.07     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs2969dominos_tC2Ev
  0.00      9.07     0.00        1     0.00     0.00  cs296::base_sim_t::~base_sim_t()
  0.00      9.07     0.00        1     0.00     0.00  cs296::dominos_t::create()
  0.00      9.07     0.00        1     0.00     0.00  cs296::dominos_t::~dominos_t()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.11% of 9.07 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]      9.8    0.89    0.00                 operator-(b2Vec2 const&, b2Vec2 const&) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]      7.8    0.71    0.00                 b2ContactSolver::SolveVelocityConstraints() [2]
-----------------------------------------------
                                                 <spontaneous>
[3]      7.4    0.68    0.00                 b2Vec2::b2Vec2(float, float) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      7.2    0.65    0.00                 operator*(float, b2Vec2 const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      5.1    0.46    0.00                 b2Mul(b2Transform const&, b2Vec2 const&) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]      3.9    0.36    0.00                 b2Cross(float, b2Vec2 const&) [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      3.2    0.29    0.00                 operator+(b2Vec2 const&, b2Vec2 const&) [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      3.2    0.29    0.00                 b2Dot(b2Vec2 const&, b2Vec2 const&) [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      2.9    0.26    0.00                 b2World::Solve(b2TimeStep const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     2.4    0.15    0.07                 b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [10]
                0.04    0.00  143072/143072      debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [41]
                0.03    0.00  378720/378720      debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [49]
                0.00    0.00  513376/740608      debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [148]
-----------------------------------------------
                                                 <spontaneous>
[11]     2.0    0.18    0.00                 b2Mul(b2Rot const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     1.8    0.16    0.00                 b2Min(b2Vec2 const&, b2Vec2 const&) [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     1.5    0.14    0.00                 float b2Clamp<float>(float, float, float) [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     1.5    0.14    0.00                 b2Vec2::b2Vec2() [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     1.3    0.12    0.00                 b2MulT(b2Rot const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.2    0.11    0.00                 b2Cross(b2Vec2 const&, float) [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     1.2    0.11    0.00                 b2Vec2::operator-=(b2Vec2 const&) [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     1.2    0.11    0.00                 b2Cross(b2Vec2 const&, b2Vec2 const&) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     1.1    0.10    0.00                 b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.1    0.10    0.00                 b2ContactSolver::InitializeVelocityConstraints() [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     1.1    0.10    0.00                 b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.0    0.09    0.00                 b2ContactSolver::SolvePositionConstraints() [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     0.9    0.08    0.00                 float b2Min<float>(float, float) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.9    0.08    0.00                 b2World::DrawDebugData() [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.9    0.08    0.00                 b2World::SolveTOI(b2TimeStep const&) [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.8    0.07    0.00                 b2Max(b2Vec2 const&, b2Vec2 const&) [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.8    0.07    0.00                 b2Vec2::operator-() const [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.8    0.07    0.00                 b2Fixture::GetType() const [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.7    0.06    0.00                 b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     0.7    0.06    0.00                 b2Body::IsAwake() const [30]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.6    0.05    0.00                 b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.6    0.05    0.00                 b2Transform::b2Transform() [32]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.6    0.05    0.00                 b2ContactSolver::WarmStart() [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.6    0.05    0.00                 b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [34]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.6    0.05    0.00                 b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.6    0.05    0.00                 b2Contact::GetFixtureA() [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.6    0.05    0.00                 b2Contact::Update(b2ContactListener*) [37]
                0.00    0.00  197351/197351      b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [150]
                0.00    0.00    2899/2899        cs296::MyContactListener::BeginContact(b2Contact*) [153]
                0.00    0.00    2788/2788        cs296::MyContactListener::EndContact(b2Contact*) [154]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.6    0.05    0.00                 b2Sweep::GetTransform(b2Transform*, float) const [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.5    0.05    0.00                 b2DistanceProxy::GetSupport(b2Vec2 const&) const [39]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.5    0.05    0.00                 b2Body::IsActive() const [40]
-----------------------------------------------
                0.04    0.00  143072/143072      b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [10]
[41]     0.4    0.04    0.00  143072         debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.4    0.04    0.00                 b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.4    0.04    0.00                 b2DynamicTree::InsertLeaf(int) [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.4    0.04    0.00                 b2ContactManager::Collide() [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.4    0.04    0.00                 b2StackAllocator::Allocate(int) [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.4    0.04    0.00                 b2Contact::GetNext() [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.4    0.04    0.00                 std::sqrt(float) [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.4    0.04    0.00                 b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [48]
-----------------------------------------------
                0.03    0.00  378720/378720      b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [10]
[49]     0.3    0.03    0.00  378720         debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.3    0.03    0.00                 b2TestOverlap(b2AABB const&, b2AABB const&) [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.3    0.03    0.00                 int b2Max<int>(int, int) [51]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.3    0.03    0.00                 b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.3    0.03    0.00                 b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.3    0.03    0.00                 b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.3    0.03    0.00                 b2Rot::b2Rot(float) [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.3    0.03    0.00                 b2Rot::b2Rot() [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.3    0.03    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.3    0.03    0.00                 b2Body::GetFixtureList() [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.3    0.03    0.00                 b2Vec2::SetZero() [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.3    0.03    0.00                 b2Vec2::operator+=(b2Vec2 const&) [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.3    0.03    0.00                 b2Mat22::SetZero() [61]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.3    0.03    0.00                 b2World::DrawJoint(b2Joint*) [62]
                0.00    0.00  227232/740608      debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [148]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.3    0.03    0.00                 b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.3    0.03    0.00                 b2Fixture::GetNext() [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.3    0.03    0.00                 b2Simplex::Solve3() [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.3    0.03    0.00                 b2Shape::GetType() const [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.3    0.03    0.00                 b2Color::b2Color(float, float, float) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.2    0.02    0.00                 b2PairLessThan(b2Pair const&, b2Pair const&) [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.2    0.02    0.00                 float b2Max<float>(float, float) [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.2    0.02    0.00                 b2MulT(b2Transform const&, b2Vec2 const&) [70]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.2    0.02    0.00                 b2TOIInput::b2TOIInput() [71]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.2    0.02    0.00                 b2DynamicTree::Balance(int) [72]
-----------------------------------------------
                                                 <spontaneous>
[73]     0.2    0.02    0.00                 b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.2    0.02    0.00                 b2GrowableStack<int, 256>::GetCount() [74]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.2    0.02    0.00                 b2StackAllocator::Free(void*) [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.2    0.02    0.00                 b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.2    0.02    0.00                 b2Rot::Set(float) [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.2    0.02    0.00                 b2Body::SynchronizeFixtures() [78]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.2    0.02    0.00                 b2Sweep::Normalize() [79]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.2    0.02    0.00                 b2World::ClearForces() [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.2    0.02    0.00                 b2Island::Report(b2ContactVelocityConstraint const*) [81]
                0.00    0.00  197385/197385      b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [149]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.2    0.02    0.00                 b2Contact::SetEnabled(bool) [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.2    0.02    0.00                 b2Fixture::DestroyProxies(b2BroadPhase*) [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.2    0.02    0.00                 b2Fixture::GetBody() [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.2    0.02    0.00                 b2BroadPhase::TestOverlap(int, int) const [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.2    0.02    0.00                 b2DynamicTree::GetFatAABB(int) const [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.2    0.02    0.00                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.2    0.02    0.00                 b2SeparationFunction::FindMinSeparation(int*, int*, float) const [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.2    0.02    0.00                 b2Body::GetTransform() const [89]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.2    0.02    0.00                 b2Vec2::LengthSquared() const [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.2    0.02    0.00                 b2Timer::GetMilliseconds() const [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.2    0.02    0.00                 b2Fixture::IsSensor() const [92]
-----------------------------------------------
                0.01    0.00    8416/8416        cs296::callbacks_t::display_cb() [110]
[93]     0.1    0.01    0.00    8416         cs296::base_sim_t::step(cs296::settings_t*) [93]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.1    0.01    0.00                 void b2Swap<float>(float&, float&) [94]
-----------------------------------------------
                                                 <spontaneous>
[95]     0.1    0.01    0.00                 b2BroadPhase::QueryCallback(int) [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.1    0.01    0.00                 b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&) [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.1    0.01    0.00                 b2ChainShape::b2ChainShape() [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.1    0.01    0.00                 b2ClipVertex::b2ClipVertex() [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.1    0.01    0.00                 b2EPCollider::ComputeEdgeSeparation() [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.1    0.01    0.00                 b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [100]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.1    0.01    0.00                 b2DynamicTree::RemoveLeaf(int) [101]
-----------------------------------------------
                                                 <spontaneous>
[102]    0.1    0.01    0.00                 b2DynamicTree::AllocateNode() [102]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.1    0.01    0.00                 b2DynamicTree::DestroyProxy(int) [103]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.1    0.01    0.00                 b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [104]
-----------------------------------------------
                                                 <spontaneous>
[105]    0.1    0.01    0.00                 b2DistanceProxy::Set(b2Shape const*, int) [105]
-----------------------------------------------
                                                 <spontaneous>
